"type","date","open","close","high","volume","low"
"resistance",1536277800,6501.92,6472.99,6501.92,449.27048657000006,6459.15
"support",1536281400,6472.99,6506.19,6506.21,317.68205209,6469.21
"resistance",1536285000,6506.19,6497.71,6529,456.1234980699998,6497.7
"support",1536288600,6497.71,6500.01,6507.93,236.85350633999985,6478.49
"resistance",1536292200,6500,6486.45,6500.01,183.35716361000004,6475
"support",1536295800,6486.45,6505.23,6507,104.22642433999998,6480.86
"resistance",1536299400,6505.23,6482.51,6530,304.7691496199999,6482.5
"support",1536310200,6443.93,6460.75,6461.75,111.62006029999995,6434.09
"resistance",1536313800,6460.75,6376.93,6460.75,670.7253519200003,6325
"support",1536321000,6371.41,6425,6442.02,210.85805168000002,6365
"resistance",1536328200,6440.55,6440.37,6478.91,254.1167675399999,6422.41
"support",1536335400,6429.76,6448.01,6485,987.4785093000002,6360
"resistance",1536339000,6446.8,6397.51,6449.15,468.39435235999997,6386
"support",1536342600,6397.52,6421.6,6428.68,415.3970399699998,6397.51
"resistance",1536353400,6438.1,6435,6442.58,244.13152058999998,6428.02
"support",1536364200,6411.51,6431.5,6441.11,207.08183677999997,6392.03
"resistance",1536367800,6431.51,6424.13,6441,200.85187592,6422.3
"support",1536371400,6424.14,6435.44,6442.56,146.28095521000006,6422.31
"resistance",1536375000,6435.43,6414,6444.65,179.0339839300001,6410.69
"support",1536378600,6414,6422.12,6423.63,115.99219518999996,6405.69
"resistance",1536389400,6440.66,6437.44,6441.82,60.8391703,6430
"support",1536393000,6437.45,6451.01,6460,91.53702520999998,6437.44
"resistance",1536400200,6456.06,6447.56,6457.18,39.36069916999999,6444.13
"support",1536411000,6412.99,6417.39,6423.29,115.96778046000003,6393.09
"resistance",1536414600,6417.28,6405.47,6420,153.43877530999995,6395.01
"support",1536418200,6405.47,6416.19,6429.95,218.25440229000006,6390
"resistance",1536425400,6416.42,6195.14,6416.91,1620.6680714799973,6150
"support",1536432600,6170.01,6188.89,6200,535.4516846999998,6165
"resistance",1536436200,6188.89,6154,6189.27,597.0887698899998,6116
"support",1536439800,6154,6179.97,6184.98,325.83149283999995,6143
"resistance",1536443400,6177.74,6176.91,6200,287.13088609,6165.71
"support",1536447000,6176.91,6189.51,6196.99,279.4391159,6169.27
"resistance",1536450600,6189.51,6183.93,6192.76,226.17886869000006,6166.89
"support",1536454200,6183.94,6195,6195,217.09858288999996,6179.11
"resistance",1536457800,6195,6185,6200,289.7265115099999,6176.31
"support",1536465000,6171.54,6184.18,6195.48,284.9450173200001,6171.53
"resistance",1536468600,6184.18,6181.19,6184.52,178.76906613,6169.67
"support",1536472200,6181.19,6188.37,6193.28,93.41486090000002,6181.18
"resistance",1536486600,6400,6373.49,6400.01,133.85304985,6370
"support",1536493800,6369.31,6391.2,6396,101.09682049,6364.73
"resistance",1536501000,6402.71,6380.01,6414,284.14232158,6380
"support",1536511800,6377.18,6380.06,6381.01,133.05237022999998,6368
"resistance",1536522600,6387,6386.18,6395.88,136.90654405999996,6381.11
